trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
3075,49.7,37.5,31.5,1.67,1.39,3.1,4.13E+51,4.08E+51,4.74E+52
3076,93,38.2,38.5,3.36,2.08,6.75,3.85E+52,3.48E+52,4.61E+53
3084,166.6,37,35.3,6.57,3.32,8.7,3.73E+53,3.02E+53,2.16E+54
3085,91.3,40.9,24.4,6.04,4.44,11.13,9.70E+52,9.29E+52,9.41E+53
3093,128.6,36.9,31.5,6.45,3.8,10.93,2.15E+53,1.89E+53,1.82E+54
3096,240.9,47.8,34.7,10.99,6.1,13.12,1.96E+54,1.65E+54,9.27E+54
3100,54.2,1.2,2,1.88,0.07,0.13,5.73E+51,5.10E+50,9.80E+50
3101,107.5,5.5,5.4,1.69,0.14,0.15,1.96E+52,3.80E+51,4.40E+51
3105,259.7,7.5,8.3,8.91,0.98,1.3,1.55E+54,3.60E+53,5.60E+53
3109,111.1,10.8,12,7.66,2.25,4.24,2.17E+53,1.20E+53,3.74E+53
3115,310.8,6.8,7,3.72,0.2,0.22,5.04E+53,6.10E+52,7.30E+52
3119,52.4,14.8,13.8,1.46,0.55,0.72,3.88E+51,2.68E+51,6.49E+51
3120,108.8,41.4,46.7,4.47,2.83,15.08,8.32E+52,7.57E+52,2.31E+54
3128,382.1,6.9,7.1,2.8,0.11,0.11,4.94E+53,4.40E+52,5.00E+52
3129,72.5,12.3,9.8,2.26,0.63,0.67,1.31E+52,7.20E+51,1.15E+52
3131,40,2.2,1,0.8,0.06,0.03,1.22E+51,2.00E+50,1.00E+50
3132,81.5,4.3,4,4.72,0.65,0.73,5.11E+52,1.51E+52,2.04E+52
3138,217.6,6.2,6.5,1.33,0.06,0.06,6.00E+52,6.20E+51,7.00E+51
3142,248.9,61.7,45.9,9.33,5.6,14.42,1.55E+54,1.37E+54,1.09E+55
3143,130.6,35.4,43.4,1.65,0.62,1.17,2.80E+52,1.93E+52,7.55E+52
3153,28.8,14.1,11.9,0.83,0.46,0.52,6.55E+50,5.59E+50,1.49E+51
3159,43.3,38.6,31.5,1.28,1.17,2.23,2.29E+51,2.28E+51,2.45E+52
3166,41.4,25.4,43.9,1.23,0.86,4.11,2.00E+51,1.89E+51,6.66E+52
3177,197.8,24.5,29.4,8.75,3.29,8.72,8.72E+53,5.78E+53,3.26E+54
3193,121.7,28.8,34.1,7.81,4.34,23.2,2.70E+53,2.29E+53,5.56E+54
3212,105.8,51.1,36.8,1.38,0.81,0.92,1.49E+52,1.32E+52,3.72E+52
3217,51.6,16.7,47.5,0.85,0.33,1.5,2.14E+51,1.48E+51,2.37E+52
3220,78.8,18.5,22.5,2.7,1.06,2.33,2.00E+52,1.40E+52,6.77E+52
3227,222.2,10.2,10.6,1.67,0.12,0.14,8.25E+52,1.43E+52,1.76E+52
3237,97.3,20.4,14.9,1.34,0.38,0.34,1.22E+52,6.80E+51,9.00E+51
3238,95.4,51.2,67.2,1.54,0.99,3.12,1.38E+52,1.27E+52,1.85E+53
3241,297.2,9.9,10.1,3.05,0.22,0.24,3.41E+53,5.60E+52,6.90E+52
3242,23.6,7.7,13.2,0.34,0.12,0.22,2.34E+50,1.46E+50,5.41E+50
3245,342.9,11.6,13.4,2.2,0.14,0.17,2.83E+53,4.10E+52,5.60E+52
3246,119.5,36.9,17.9,10.67,7.4,13.24,4.56E+53,4.27E+53,2.29E+54
3247,211.7,77,59.6,6.47,4.35,14.59,5.86E+53,5.45E+53,7.81E+54
3255,91.4,11.6,12.5,0.69,0.1,0.12,5.58E+51,1.85E+51,2.69E+51
3256,141.8,6.6,6.1,3.42,0.36,0.38,9.23E+52,2.15E+52,2.60E+52
3257,210.5,5.9,6.3,11.97,1.52,1.98,1.75E+54,4.60E+53,7.20E+53
3259,265.4,48.1,68.7,8.96,4.41,27.42,1.64E+54,1.30E+54,3.50E+55
3279,76.3,17.6,17.6,2.95,1.17,2.05,2.13E+52,1.50E+52,5.32E+52
3283,185.8,29.4,32,10.61,5.07,16.86,1.09E+54,8.50E+53,7.93E+54
3287,198.1,13.9,15,4,0.66,0.89,2.31E+53,8.10E+52,1.39E+53
3290,144.3,5.1,5.2,1.06,0.05,0.05,2.06E+52,2.40E+51,2.70E+51
3292,97.3,43.4,38,5.81,4.23,24.78,1.03E+53,9.90E+52,4.18E+54
3306,130.8,22.6,24.5,2.8,0.86,1.42,5.79E+52,3.43E+52,9.61E+52
3307,46.1,20.5,26.3,1.56,0.87,2.26,3.27E+51,2.83E+51,2.53E+52
3319,207.2,38.2,36.6,9.03,4.5,12.42,1.01E+54,8.10E+53,6.02E+54
3320,115.5,10.5,17.6,6.36,1.64,4.86,1.70E+53,8.50E+52,4.51E+53
3330,434.3,23.3,25.4,5.16,0.76,1.02,1.68E+54,5.20E+53,8.80E+53
3336,104.3,37.7,41.5,2.84,1.55,4.33,3.77E+52,3.22E+52,2.96E+53
3345,201.5,10.8,12.3,1.7,0.15,0.18,6.95E+52,1.38E+52,1.98E+52
3351,159.3,45,45.7,4.29,2.23,5.95,1.67E+53,1.38E+53,1.08E+54
3352,149.1,8.2,9.6,1.87,0.17,0.22,4.30E+52,9.10E+51,1.35E+52
3356,100.5,26.1,25.3,2.62,1.1,1.84,3.10E+52,2.27E+52,7.96E+52
